Lake,Lat,LONG,d18O,dD,pH,COND,depth,TP,TN,DOC,TOC,mVORP,DO,TDS,Temp,EI,Area
1,68.54517,-133.74352,-16.49,-138.2,7.96,138,6.7,6.908,33.08,9.824,10.53,255,99.5,69,19.21,0.148414248,184.3279
2,68.98489,-133.39977,-17.98,-147.34,7.65,65,2.39,27.926,41.77,15.11,16.68,291.9,99.5,32,18.61,0.126731538,3.66016
3,68.98603,-133.36462,-16.86,-139.53,7.64,66,4,21.918,34.88,14.18,16.75,281.2,102.2,33,19.84,0.123514308,7.289797
4,69.00377,-133.36516,-18.11,-145.68,7.89,0,2.54,35.251,44.83,19.41,21.27,247.5,108,0,16.31,0.079489864,0.636349
5,69.0051,-133.35289,-15.19,-127.82,8.3,153,3.4,14.629,28.61,8.597,9.239,217.3,100.9,77,18.42,0.117217627,22.15656
6,69.00663,-133.36598,-16.09,-134.9,8.19,159,7.45,11.141,24.5,9.141,9.563,228,99.9,80,18.38,0.136462032,4.150435
7,69.03204,-133.24229,-17.42,-141.49,8.02,108,4,53.67,63.42,20.86,21.91,229.3,97.9,54,18.83,0.088274539,7.530734
8,69.02254,-133.25964,-14.85,-131.5,8.74,124,7.5,18.75,36.44,9.088,10.08,180.4,112,62,20.66,0.263428591,2.396127
9,69.01881,-133.26801,-14.55,-128.59,9.07,222,6,57.43,33.82,10.74,10.77,194.3,123.3,111,22.65,0.239747924,4.105637
10,69.01715,-133.26779,-15.13,-131.38,8.6,211,3,90.287,44.81,11.93,13.02,202.3,109,105,21.01,0.20747305,4.865085
11,69.01524,-133.27917,-15.29,-130.02,8.74,188,3,35.257,37.31,7.783,10.27,195.4,113.1,94,21.5,0.149252668,8.762041
12,69.39195,-133.02875,-14.4,-123.42,8.64,548,1.83,12.241,52.09,7.131,10.73,241.8,106,274,19.95,0.138137112,8.501056
13,69.37317,-133.03503,-14.72,-125.95,7.81,163,2,75.756,57.76,12.64,14.38,180.8,101.9,81,20.25,0.145579708,4.87088
14,69.37317,-133.03503,-14.36,-123.45,8.21,181,1.1,27.748,29.19,7.576,7.956,244.1,103.8,90,19.93,0.144796064,26.4789
15,69.36014,-133.04221,-17.08,-139.68,7.44,81,1,81.642,45.01,16.65,19.82,202.6,98.8,41,20.23,0.09746836,7.705875
16,69.34846,-133.03479,-15.12,-125.86,9.34,347,5,33.908,36.23,8.458,10.21,134.8,129.3,173,20.56,0.088273984,4.066641
17,69.34545,-133.04173,-15.34,-127.29,9.25,130,5,24.194,46.8,8.013,10.39,198,116.8,65,20.43,0.08705981,3.925121
18,69.34203,-133.0253,-17.3,-139.4,7.52,95,2.5,96.531,47.39,19.81,19.99,252.8,98.5,47,18.62,0.065955358,2.322555
19,69.06706,-133.15332,-17.06,-140.74,7.93,89,4.8,34.097,44.4,18.77,19.87,222.4,100.3,44,18.46,0.12042344,1.692866
20,69.06561,-133.14755,-14.45,-125.34,8.18,141,4,27.414,39.28,13.73,15.08,217.5,106.6,71,20.77,0.173985117,20.050848
21,69.06786,-133.14604,-17.06,-144.14,7.72,95,3,39.663,45.31,17.66,18.81,222.9,100.5,48,21,0.194303446,0.521343
22,69.07277,-133.11746,-14.57,-127.12,8.84,113,2,39.076,44.85,13.63,14.44,188.5,119,57,23.52,0.197309271,7.25305
23,69.07209,-133.11789,-15.69,-134.41,7.6,96,2.5,32.465,47.61,16.56,22.93,242.6,105.6,48,21.53,0.187050565,1.990857
24,69.08479,-133.09203,-14.9,-128.88,8,155,2,37.911,41.45,13.89,15.13,236,107.6,77,21.28,0.184716472,8.098633
25,68.56865,-133.73795,-15.2,-132.39,9.06,151,0.4,19.219,36.82,12.85,12.63,172.2,112.9,75,25.82,0.221106983,10.02508
26,69.263784,-132.914829,-15.89,-132.51,8.41,226,1.25,46.131,32.07,10.9,10.76,230.7,108,113,18.31,0.115509396,3.195289
27,69.2504,-132.90178,-16.93,-138.91,7.6,122,4,20.492,42.41,15.63,19.16,135.9,93.1,61,21.38,0.102172953,0.0673362
28,69.2439,-132.90117,-18.61,-150.32,7.47,123,2.99,40.916,85.41,20.74,26.98,234.1,92.2,61,21.19,0.101650786,1.57476
29,69.14244,-133.04068,-15.82,-134.71,7.91,131,1,21.767,40.78,18.14,18.77,240.8,101.3,66,18.98,0.173061051,1.873707
30,69.2119,-132.920404,-14.28,-123.22,8.39,146,2.05,11.248,26.98,7.774,7.865,216.1,98.6,73,20.67,0.151897253,29.180701
31,69.18295,-133.01164,-14.09,-122.92,8.41,164,1.5,17.445,32.82,8.104,10.69,193.6,108.4,82,21.38,0.175247286,10.68496
32,69.20097,-132.93419,-14.93,-126.81,8.01,95,1.85,13.092,23.95,8.079,8.869,263.4,93.5,48,20.17,0.133107538,32.723034
33,69.19741,-132.9297,-14.71,-127.05,7.85,96,4.8,16.287,20.01,7.62,8.065,279,95.6,48,20.13,0.172195281,2.682063
34,69.18478,-133.00772,-14.21,-121.96,8.97,116,1.5,24.556,27.28,7.822,8.325,217.6,125.9,70,23.92,0.134655351,816.82866
35,69.16696,-133.03871,-15.1,-126.96,8.24,116,1,15.289,45.39,9.64,10.25,178.8,113.1,58,22.36,0.112253447,46.71887
36,68.84676,-133.55589,-17.39,-144.01,8.11,57,1.67,42.234,42.6,14.73,14.83,248.9,94.4,28,19.74,0.141000305,14.69284
37,68.84676,-133.54187,-16.36,-136.73,7.79,83,2.6,12.857,24.72,9.569,9.71,273.1,91.5,42,20.09,0.13611898,59.86872
38,68.79385,-133.54057,-17.68,-145.04,7.33,81,1.64,21.305,19.58,9.666,8.427,292.4,88,40,22.26,0.121768327,3.750283
39,69.18243,-133.01218,-13.27,-120.82,8.47,255,1.5,17.425,63.46,18.85,20.05,203.7,110.4,128,21.03,0.271560627,0.403867
40,68.56645,-133.74405,-13.6,-126.13,9.45,179,1,28.181,48.22,12.14,12.02,167.7,126.5,89,25.63,0.373464013,57.33317
41,68.567,-133.74159,-15,-133.22,9.29,148,0.76,23.179,33.95,10.99,10.71,210.1,116.4,74,24.86,0.283628731,9.129123
42,68.89948,-133.53004,-16.67,-139.56,7.86,125,1.54,22.681,39.38,15.58,16.05,237.1,94.1,62,19.87,0.151151597,3.36486
43,68.89913,-133.54219,-15.85,-134.7,7.5,88,1.12,19.075,46.1,16.65,17.56,290.7,89.7,44,19.63,0.168094604,5.863075
44,68.90175,-133.53882,-16.65,-139.74,7.17,58,1.6,22.967,41.03,15.14,15.27,287.9,85.4,29,19.78,0.158055829,4.308407
45,68.82465,-133.55351,-14.72,-124.27,8.47,120,1.83,5.496,21.07,6.214,6.303,214.5,98.3,60,20.5,0.11025532,60.28981
46,68.81935,-133.55194,-16.46,-138.87,7.64,73,2.22,28.486,46.54,17.16297,19.13,241.3,94.1,36,20.59,0.167709388,3.10154
47,68.81988,-133.57181,-16.46,-138.8,8.77,53,1.65,25.585,25.76,8.551,9.116,188.4,103.6,26,19.95,0.16613168,168.1999
48,68.81279,-133.55217,-16.16,-135.45,8.05,126,4.5,25.547,36.7,12.4,12.48,106.3,104.1,63,19.62,0.137959938,14.57973
49,68.80894,-133.54277,-14.93,-128.11,8.76,152,2.5,10.177,32.84,8.316,7.972,185.1,111.8,76,19.44,0.16175587,11.10654
50,68.66908,-133.56274,-16.5,-139.63,7.62,123,1.65,9.094,26.82,9.565,9.698,286.1,89.1,62,22.52,0.178816332,0.852654
51,69.31485,-132.98442,-15.54,-128.62,8.42,148,6.97,8.512,20.2,8.566,8.586,186.1,112.3,74,18.65,0.086523586,83.875343
52,69.29672,-132.93539,-14.05,-117.85,8.64,146,1.95,8.411,15.61,5.067,4.598,216.4,105.3,73,18.93,0.074408083,1211.5174
53,69.32838,-133.01971,-16.47,-135.29,7.74,93,1.98,19.979,39.73,15.75,16.61,259.2,98.1,47,19.43,0.092995266,5.998028
54,69.33534,-133.02142,-14.77,-126.1,7.89,112,2.68,7.518,31.12,11.6,11.76,210,99.5,56,19.37,0.141371112,3.756911
55,69.11799,-133.07069,-14.31,-127.17,8.18,154,1.5,26.812,73.96,24.1,25.79,229.4,111.8,77,21.64,0.24647381,1.115539
56,69.11499,-133.07521,-16.09,-137.84,7.6,147,3.28,21.185,41.29,17.95,17.92,224.5,100.4,74,21.7,0.203554032,1.267027
57,68.776,-133.54047,-17.17,-142.93,8.56,185,2.04,17.209,33.1,13.32,13.73,194.3,111.6,92,22.08,0.149969507,1.332953
58,68.69497,-133.56465,-18.49,-148.51,7.29,273,1.9,11.855,46.81,14.15,15.72,264.8,94.7,137,20.11,0.083851314,0.532033
