lake #,Chaetocladius,Chironomini larvula,Chironomus anthracinus,Chironomus plumosus,Chironomus undiff,Cladopelma lateralis,Cladotanytarsus mancus,Constempellina-Thienemanniola,Corynocera ambigua,Corynocera oliveri,Corynoneura arctica,Corynoneura edwardsi,Cricotopus bicinctus,Cricotopus cylindraceus,Cricotopus intersectus,Cricotopus laricomalis,Cricotopus oliveri,Cricotopus sylvestris,Cricotopus tremulus,Cricotopus trifasciatus,Cricotopus type C,Cricotopus type P,Cricotopus-Orthocladius,Cryptochironomus ,Cryptotendipes,Derotanypus,Dictrotendipes,Diplocladius,Einfeldia,Endochironomus albipennis,Endochironomus impar,Eukiefferiella,Glyptotendipes barbipes,Glyptotendipes pallens,Glyptotendipes severini,Harnischia,Helenia,Heterotanytarsus,Heterotrissocladius maeaeri,Heterotrissocladius marcidus,Heterotrissocladius undiff,Hydrobaenus,Lasiodiamesa,Limnophyes,Limnophyes-Paralimnophyes,Macropellapini,Metriocnemus,Micropsectra contracta,Micropsectra insignilobus,Micropsectra undiff,Microtendipes pedellus,Monodiamesa,Nanocladius,Neozavrelia,Oliveridia,Orthocladius consobrinus,Orthocladius type I,Orthocladius type S,Orthocladius oliveri,Orthocladius sp 2,Orthocladius trigonolabis,Parachironomus varus,Paracladius,Parakiefferiella nigra,Parakiefferiella triquetra,Parakiefferiella type B,Parakiefferiella undiff,Paralimnophyes,Parametriocnemus-Paraphaenocladius,Paratanytarsus austriacus,Paratanytarsus penicillatus,Paratanytarsus type A,Paratanytarsus undiff,Parorthocladius,Phaenospectra,Polypedilum nubeculosum,Polypedilum nubifer,Polypedilum undiff,Procladius,Protanypus,Psectrocladius barbimanus,Psectrocladius barbatipes,Psectrocladius calcaratus,Psectrocladius nr barbimanus,Psectrocladius septentrionalis,Psectrocladius sordidellus,Psectrocladius flavus,Psectrocladius undiff,Pseudochironomus,Pseudosmittia,Sergentia ,Stempellinella-Zavrelia,Stictochironomus rosenschoeldi,Stictochironomus unknown,Tanytarsus chinyensis,Tanytarsus glabrescens,Tanytarsus lactescens,Tanytarsus lugens,Tanytarsus mendax,Tanytarsus nemorosus,Tanytarsus pallidicornis,Thienemaniella,Tribelos,Zalutschia lingulata pauca,Zalutschia mucronata,Zalutschia zalutschicola,Zalutschia undiff,Tanytartsus no spur,Tanytarsini undiff,Orthocladiinae undiff.,Chironomini undiff,unidentifiable
1,0,0,2,0,0,4,0,0,8,0,0,0,0,1,0.5,0,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5,1,0,0,0,4.5,0,2,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0.5,0,1.5,0
2,0,0,0,1,0.5,4,1,0.5,0,1,0,1,0,4,0.5,0,0,0,0,0,0,1,3,0.5,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,0,0,0,0,0,1.5,2,0,0.5,0,0,0,4,0,0,0,0,1,1,0,0,1,0,0,2.5,3.5,0,6,0,0,0,0,0,0,2.5,3,0.5,1,0
3,0,0,0.5,0,1.5,0,0,1,1,1,0,0,0,1,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0.5,0.5,1,0,0,0,20,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,1.5,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,8,0,12,0,0,0,0,0.5,0,8.5,2,2,0,0.5
4,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5,1.5,1.5,0,0,0,0,1,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3.5,0.5,0,0,0,0,0,6,3,0,3,0,0,1,0,1.5,0,9,2.5,0.5,0.5,1.5
5,0,0,1,4,5,9.5,1,0,0,0,1,0,0,0,1.5,0,0,0,0,0,0,0,0.5,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.5,0.5,1,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5,0,0,0,0,0,0.5,0,0,0,0,0,4,0,0,1.5,0,0,0,0,0,0,1.5,0,0,2.5,2
6,0,1,7,1,5,1,0,1,0,0,0,1,0,4,0.5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,1.5,0.5,0,0,1,0,0,0,0,0,1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0.5,1,0,0,1.5,0,1,0,0,5.5,0,4,0,0,0,0,1,0.5,0,0,0,0,0.5,0,0,0,3,3,0.5,4,4
7,0,0.5,16.5,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,1,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0.5,0,0,0.5,0,5,2.5,0.5,2,1
8,0,0,5,2,6.5,0.5,1.5,0,8,2,1,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1.5,0,0,0,0,3,2.5,0,0,0,0,0,2,0,2,2,0,0,1,0,0.5,0,4,3.5,0,2,3
9,0,2,1,0,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4.5,3,1,3.5,0.5
10,0,0,2,2,8.5,1.5,2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5,1.5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4.5,1.5,0.5,2.5,1.5
